Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,has_analysis,uses_genai,patterns
Omnisense,https://omnisense.ai,,,,,2022-01-01,,"Software development, big data analytics, AI and machine learning solutions",https://omnisense.ai,,"Big data, Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",,true,true,
Cormind,https://cormind.com,,,,,2022-01-01,,Plug&run IIoT factory OS platform,https://cormind.com,,"Industry40, Internet of things, Smart manufacturing, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Seed Bilgi Teknolojileri,https://seedbilgiteknolojileri.com,,,,,2022-01-01,,Software and hardware solutions,https://seedbilgiteknolojileri.com,,"Agency, Image process, Artificial intelligence, Agritech","Ankara, Turkey, Asia",,true,true,
Wyseye,https://wyseye.com,Pre-Seed,15000,USD,15000,2022-01-01,Pre-Seed,Artificial intelligence and image processing solutions,https://wyseye.com,1,"Image process, Deeptech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Sightverse,https://www.sightverse.io,,,,,2022-01-01,,Consumer and brand facing platform that allows active users the ability to turn receipts from any retailer into cash,https://www.sightverse.io,,"Fintech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Kavaken,https://www.kavaken.com,Seed,1100000,USD,1100000,2022-01-01,Seed,Artificial intelligence-powered solutions for energy companies,https://www.kavaken.com,1,"Cleantech, Energy, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Bossofin,http://bossofin.com,,,,,2022-01-01,,Online platform that facilitates the financial processes of companies with artificial intelligence and decision support system,http://bossofin.com,,"Fintech, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",,true,true,
Potanın Yıldızları,https://potaninyildizlari.com,,,,,2022-01-01,,Artificial intelligence application that controls real-time basketball fundamental exercises with a mobile application,https://potaninyildizlari.com,,"Image process, Sports, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Artifica,https://artifica.io,Seed,500000,USD,500000,2022-01-01,Seed,AI solutions for e-commerce,https://artifica.io,1,"Ecommerce, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
İntes Teknoloji,http://www.intesteknoloji.com,,,,,2022-01-01,,Big data analytics techniques and real time data solutions,http://www.intesteknoloji.com,,"Internet of things, Big data, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
