Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors
RUYAN,https://ruyan.com.tr,,,,,2026-01-01,,"AI-powered SaaS and mobile applications focused on intelligent digital products, data-driven platforms and subscription-based systems",https://ruyan.com.tr,,"Artificial intelligence, SaaS","Izmir, Turkey, Asia",
WhichNotes,https://whichnotes.io,,,,,2026-01-01,,AI assistant that turns scattered notes into a connected knowledge graph,https://whichnotes.io,,"Artificial intelligence, SaaS","Ankara, Turkey, Asia",
MediSense AI,https://medisense-ai.com,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,Early cancer detection with AI-powered medical imaging analysis,https://medisense-ai.com,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Donna.ai,,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,Artificial intelligence-based legal education and professional assistance platform,,1,"Legaltech, Artificial intelligence","Istanbul, Turkey, Asia",
EndoRobotics,,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,Digital patient monitoring application for urinary tract stone disease solution,,1,"Robotics, Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Feelio.ai,https://feelio.ai,,,,,2026-01-01,,Turn feelings into visuals,https://feelio.ai,,Artificial intelligence,"Ankara, Turkey, Asia",
ChainFlow,https://chainflow.site,Pre-Seed,21150,USD,21150,2026-01-01,Pre-Seed,AI-powered platform that digitally approves and signs documents,https://chainflow.site,1,"Blockchain, Artificial intelligence","Istanbul, Turkey, Asia",
Ashera AI,https://ashera.net,,,,,2026-01-01,,Provides scalable AI infrastructure,https://ashera.net,,Artificial intelligence,"Istanbul, Turkey, Asia",
SetteTech,https://settetech.com,,,,,2025-01-01,,"Artificial intelligence, mobile app development, and enterprise web solutions",https://settetech.com,,"Agency, Artificial intelligence","Manisa, Turkey, Asia",
Fal Agent,https://falagent.com,,,,,2025-01-01,,Platform for building and deploying AI agents,https://falagent.com,,"Big data, Artificial intelligence","Düzce, Turkey, Asia",
Orvion,https://orvion.com.tr,,,,,2025-01-01,,Artificial intelligence-powered energy management platform,https://orvion.com.tr,,"Energy, Artificial intelligence","Manisa, Turkey, Asia",
Patentiv,https://www.patentiv.com,,,,,2025-01-01,,AI operating system for end-to-end patent commercialization,https://www.patentiv.com,,"Legaltech, Artificial intelligence","Berlin, Germany, Asia",
Harmona AI,https://harmona.ai,,,,,2025-01-01,,"Artificial intelligence platform that analyzes company data, automates workflows, and deploys internal and hybrid agents",https://harmona.ai,,Artificial intelligence,"Istanbul, Turkey, Asia",
InsightTech,https://www.insighttech.com.tr,,,,,2025-01-01,,"Software development, mobile application development, and AI technologies",https://www.insighttech.com.tr,,"Agency, Artificial intelligence","Manisa, Turkey, Asia",
Cloudone,https://cloudoneai.ai,,,,,2025-01-01,,AI venture studio,https://cloudoneai.ai,,"Foodtech, Retailtech, Artificial intelligence","Istanbul, Turkey, Asia",
VidRush,https://www.vidrush.ai,,,,,2025-01-01,,AI-based video production platform,https://www.vidrush.ai,,"Video, Artificial intelligence","Dubai, UAE, Asia",
Zera Teknoloji,https://www.zerateknoloji.com.tr,,,,,2025-01-01,,"Custom machine manufacturing, machine automation, image processing and artificial intelligence-based solutions",https://www.zerateknoloji.com.tr,,"Image process, Mechatronics, Artificial intelligence","Ankara, Turkey, Asia",
Umaya,https://umaya.com.tr,,,,,2025-01-01,,Smart legal assistant and unparalleled decision search engine,https://umaya.com.tr,,"Legaltech, Search engine, Artificial intelligence","Ankara, Turkey, Asia",
Rugem,https://www.rugem.com.tr,,,,,2025-01-01,,Aerospace and environmental engineering solutions,https://www.rugem.com.tr,,"Spacetech, Aviationtech , Artificial intelligence","Ankara, Turkey, Asia",
Vetigen,https://vetigen.com,,,,,2025-01-01,,"AI-native, cloud-based SaaS platform unifying scheduling, clinical records, inventory, payments, and analytics for veterinary clinics",https://vetigen.com,,"Pet, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
ViviBook,https://www.vivibook.ai,,,,,2025-01-01,,AI book generation,https://www.vivibook.ai,,"Book, Artificial intelligence","Las Vegas, USA, Asia",
Arctis AI,https://arctisai.com,Seed,1000000,USD,1000000,2025-01-01,Seed,AI platform for contract management in construction,https://arctisai.com,1,"Constructiontech, Artificial intelligence","München, Germany, Asia",
TimWeb,https://timweb.org,Equity Crowdfunding,27775,USD,27775,2025-01-01,Seed,Blockchain-based decentralized copyright registration and licensing platform,https://timweb.org,1,"Blockchain, Artificial intelligence","Ankara, Turkey, Asia",
Bronzedge,https://bronzedge.com,,,,,2025-01-01,,Sensor systems with a live command desk for the industrial edge,https://bronzedge.com,,"Internet of things, Electronics, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
Sentez,https://sentez.co,SAFE,,,,2025-01-01,Pre-Seed,Systematic engine for AI hits,https://sentez.co,,Artificial intelligence,"Delaware, USA, Asia",
Neurolis,https://neurolis.tech,,,,,2025-01-01,,Builds privacy-first autonomous agentic workflows and AI automations for enterprises,https://neurolis.tech,,"Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
DBTrackr,https://dbtrackr.com,,,,,2025-01-01,,"AI-powered database performance management platform designed for MySQL, MariaDB, Percona, and PostgreSQL databases",https://dbtrackr.com,,"Big data, Artificial intelligence","Istanbul, Turkey, Asia",
Jaurni,https://www.jaurni.com,,,,,2025-01-01,,"App that enables travelers to discover authentic experiences, plan trips, and connect with a global community of explorers",https://www.jaurni.com,,"Content, Travel, Artificial intelligence","Delaware, USA, Asia",
Trasco,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Artificial intelligence-based modular autonomous transportation technology,,1,"Mobility, Artificial intelligence","Istanbul, Turkey, Asia",
Aira Teknoloji,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Artificial intelligence-powered smart budget management,,1,"Fintech, Artificial intelligence","Ankara, Turkey, Asia",
Eleythra,https://eleythra.com,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Smart accommodation and service management platform,https://eleythra.com,1,"Internet of things, Deeptech, Artificial intelligence","Istanbul, Turkey, Asia",
Fizifix,https://fizifix.com,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-powered physical therapy tracking system,https://fizifix.com,1,"Artificial intelligence, SaaS, Healthtech","Istanbul, Turkey, Asia",
BrAInSight,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-assisted stroke detection and automated radiological reporting automation using large language models,,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Visit-e,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-based assistant that prepares patients for doctor appointments,,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Vivax,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Artificial intelligence-powered clinical patient simulation platform,,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
AiMed,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Artificial intelligence-powered medical education platform,,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Nevalsis Elektronik,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-assisted desktop design automation program for microwave/RF filter design,,1,"Electronics, Artificial intelligence","Istanbul, Turkey, Asia",
Strajist AI,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,B2B SaaS platform that measures and optimizes brand visibility across AI models,,1,"Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
Syneris,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Artificial intelligence-based learning technologies,,1,"Edutech, Artificial intelligence","Kocaeli, Turkey, Asia",
Turkonex Teknoloji,https://turkonex.com,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Edge AI-based intelligent network performance monitoring and self-healing infrastructure system,https://turkonex.com,1,Artificial intelligence,"Denizli, Turkey, Asia",
Phishops,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-based email threat simulator and responder,,1,"Cybersecurity, Artificial intelligence","Istanbul, Turkey, Asia",
BacteriaX,,,,,,2025-01-01,,Artificial intelligence-supported bacterial identification system,,,"Artificial intelligence, Healthtech","Corum, Turkey, Asia",
Jobbar.AI,https://jobbar.ai,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-powered recruitment platform,https://jobbar.ai,1,"Hrtech, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
LEGALX,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Artificial intelligence-powered software technology that develops solutions to legal issues using a unique language model informed by court rulings,,1,"Legaltech, Artificial intelligence","Denizli, Turkey, Asia",
Kavra,https://www.kavralabs.com,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Artificial intelligence-powered digital exam preparation platform,https://www.kavralabs.com,1,"Edutech, Artificial intelligence","Istanbul, Turkey, Asia",
Culture YZ,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Implementation of fish feeding management in aquaculture using image processing and machine learning,,1,"Image process, Artificial intelligence, Agritech","Isparta, Turkey, Asia",
Rutinly,https://rutinly.com,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-powered workforce management platform developed specifically for the retail sector,https://rutinly.com,1,"Retailtech, Artificial intelligence","Istanbul, Turkey, Asia",
Zentra,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Real-time AI-powered error detection and isolation system,,1,Artificial intelligence,"Gaziantep, Turkey, Asia",
SIMICAD,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,AI-powered surgical simulation technologies,,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Heaven Partners,https://heavenpartners.com,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,"Provider of AI-powered talent scout, development, and management solutions",https://heavenpartners.com,1,Artificial intelligence,"Istanbul, Turkey, Asia",
Globright Teknoloji,,Pre-Seed,21150,USD,21150,2025-01-01,Pre-Seed,Holographic cell mechanics analysis device with integrated incubator,,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Tech Talent Space,https://www.techtalentspace.com,,,,,2025-01-01,,"AI HR-tech platform for role-based tests (MCQ, scenario, coding IDE), automated scoring and shortlisting",https://www.techtalentspace.com,,"Hrtech, Artificial intelligence, SaaS","Izmir, Turkey, Asia",
Nextvia,https://nextvia.com.tr,,,,,2025-01-01,,"ERP coordination, AI transformation, and custom software development services",https://nextvia.com.tr,,"Agency, Artificial intelligence, Business intelligence","Ankara, Turkey, Asia",
Menaco Software,https://www.menacosoftware.com,,,,,2025-01-01,,"Artificial intelligence, mobile and web solutions",https://www.menacosoftware.com,,"Agency, Artificial intelligence","Ankara, Turkey, Asia",
OkusFokus,https://www.okusfokus.com,,,,,2025-01-01,,AI-driven reading performance assessment platform,https://www.okusfokus.com,,"Edutech, Artificial intelligence, SaaS","Eskişehir, Turkey, Asia",
Loitek,https://loitek.com,,,,,2025-01-01,,"Software development, data center, server and artificial intelligence solutions",https://loitek.com,,"Agency, Artificial intelligence","Ankara, Turkey, Asia",
EczaneRapor,https://eczanerapor.com,,,,,2025-01-01,,Artificial intelligence-powered automated social security institution report analysis platform,https://eczanerapor.com,,"Artificial intelligence, SaaS","Ankara, Turkey, Asia",
Regnos,https://regnos.io,,,,,2025-01-01,,Real-time fraud and compliance decision engine,https://regnos.io,,"Fintech, Artificial intelligence","Istanbul, Turkey, Asia",
Devlop.ai,https://devlop.ai,,,,,2025-01-01,,AI-powered development environment for building secure embedded software systems,https://devlop.ai,,"Artificial intelligence, SaaS, Developer Tools","Istanbul, Turkey, Asia",
First Voyage,https://firstvoyage.com,Seed,2500000,USD,2500000,2025-01-01,Seed,Producer of Momo Self Care,https://firstvoyage.com,1,Artificial intelligence,"New York, USA, Asia",
Fleye,https://fleye.com.tr,,,,,2025-01-01,,Safety solutions across key transportation sectors,https://fleye.com.tr,,"Logistics, Artificial intelligence","Ankara, Turkey, Asia",
SAKAI,https://sakai.software,,,,,2025-01-01,,Artificial intelligence layer for the production line,https://sakai.software,,Artificial intelligence,"Ankara, Turkey, Asia",
useDama,https://usedama.com,,,,,2025-01-01,,AI powered data-driven marketing tool,https://usedama.com,,"Marketingtech, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
Codexbiz,https://codexbiz.com,,,,,2025-01-01,,App development studio,https://codexbiz.com,,"Artificial intelligence, SaaS, Developer Tools","Istanbul, Turkey, Asia",
FoundAtlas,https://www.foundatlas.com,,,,,2025-01-01,,"AI-powered startup evaluation and scoring platform that turns fragmented venture data into structured, comparable insights",https://www.foundatlas.com,,"Investor Ecosystem, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
Monq,https://www.monq.io,Pre-Seed,3000000,USD,3000000,2025-01-01,Pre-Seed,AI-powered enterprise negotiation platform,https://www.monq.io,1,Artificial intelligence,"London, UK, Asia",
Luron AI,https://luron.ai,SAFE,250000,USD,250000,2025-01-01,Pre-Seed,Voice AI agents for business,https://luron.ai,1,Artificial intelligence,"Newark, USA, Asia",
Caretta AI,,SAFE,250000,USD,250000,2025-01-01,Pre-Seed,Takes on the role of internal sales intelligence for GTM teams who want to create and use their own artificial intelligence to assist them in sales meetings,,1,Artificial intelligence,"San Francisco, USA, Asia",
Patientdesk.ai,https://patientdesk.ai,SAFE,250000,USD,250000,2025-01-01,Pre-Seed,AI voice agent for patient workflows,https://patientdesk.ai,1,"Artificial intelligence, Healthtech","Amsterdam, The Netherlands, Asia",
HYPERIA,https://hyperia.team,,,,,2025-01-01,,"Transforms workplace data into real-time guidance, helping teams stay aligned, focused",https://hyperia.team,,"Productivity, Artificial intelligence","Ankara, Turkey, Asia",
Callmetric AI,https://www.callmetricai.com,,,,,2025-01-01,,AI-powered call performance analytics platform,https://www.callmetricai.com,,"Big data, Customer experience, Artificial intelligence","Düzce, Turkey, Asia",
Voxpera,https://voxpera.com,Pre-Seed,500000,USD,500000,2025-01-01,Pre-Seed,AI-powered voice and chat agents automating customer service for enterprises at scale,https://voxpera.com,1,Artificial intelligence,"Istanbul, Turkey, Asia",
Segmora,https://www.segmora.ai,,,,,2025-01-01,,AI-native customer analytics platform,https://www.segmora.ai,,"Big data, Artificial intelligence, SaaS","London, UK, Asia",
microagi,https://www.microagi.ai,,,,,2025-01-01,,Data solutions for AI,https://www.microagi.ai,,Artificial intelligence,"Aachen, Germany, Asia",
FlowoTech,https://flowotech.com,,,,,2025-01-01,,Booking engine and payment gateway platform,https://flowotech.com,,"Desktop app, Artificial intelligence, SaaS","Antalya, Turkey, Asia",
AliceCo AI,https://www.alicecoai.com,,,,,2025-01-01,,"AI-powered platform delivering voice and WhatsApp automation for medical clinics, hospitals, dental clinics, and beauty salons",https://www.alicecoai.com,,Artificial intelligence,"Ankara, Turkey, Asia",
SeedScope AI,https://seedscope.ai,Pre-Seed,100000,USD,100000,2025-01-01,Pre-Seed,Early stage startup valuation and fundraising platform,https://seedscope.ai,1,"Startup Ecosystem, Artificial intelligence","Ankara, Turkey, Asia",
Insolva,https://insolvatech.com,,,,,2025-01-01,,"Web-based, integrated engineering and sales management software specifically designed for the HVAC industry",https://insolvatech.com,,"Artificial intelligence, SaaS","Izmir, Turkey, Asia",
GitMe,https://www.gitdotme.com,,,,,2025-01-01,,AI-native developer analytics platform,https://www.gitdotme.com,,"Artificial intelligence, Developer Tools","Izmir, Turkey, Asia",
Devition,https://www.devition.io,,,,,2025-01-01,,"AI-powered analytics, IoT technologies, and custom software solutions for the civil aviation industry",https://www.devition.io,,"Aviationtech , Artificial intelligence","Ankara, Turkey, Asia",
Semrug Bilişim,https://semrug.com,,,,,2025-01-01,,Artificial intelligence and image processing technologies for the agricultural sector,https://semrug.com,,"Image process, Artificial intelligence, Agritech","Ankara, Turkey, Asia",
InfoSteer,https://www.infosteer.com,,,,,2025-01-01,,"Smart, scalable solutions powered by AI agents to solve business challenges",https://www.infosteer.com,,Artificial intelligence,"Ankara, Turkey, Asia",
Altai.dev,https://altai.dev,,,,,2025-01-01,,"Cloud-based, fully automated no-code solution that transforms documents into a specialized AI assistant",https://altai.dev,,Artificial intelligence,"Ankara, Turkey, Asia",
Firenk Teknoloji,https://firenk.com,,,,,2025-01-01,,"Services in the fields of artificial intelligence, big data, software solutions, and digital transformation",https://firenk.com,,"Agency, Big data, Artificial intelligence","Ankara, Turkey, Asia",
Elektraverse,https://elektraverse.com,,,,,2025-01-01,,"AI-powered demand management, supplier matching, product sales, and data analytics platform for the electrical and electronics industry",https://elektraverse.com,,"Electronics, Marketplace, Artificial intelligence","Gaziantep, Turkey, Asia",
Mentor Coaching AI,https://mentorcoaching.ai,,,,,2025-01-01,,AI-powered platform designed for professional coaches and training programs,https://mentorcoaching.ai,,"Edutech, Artificial intelligence","Eindhoven, The Netherlands, Asia",
METALLAI,https://metallai.com,,,,,2025-01-01,,Artificial intelligence-powered material decision platform,https://metallai.com,,Artificial intelligence,"Istanbul, Turkey, Asia",
Kolayz,https://kolayz.com,,,,,2025-01-01,,AI powered reporting tool,https://kolayz.com,,"Big data, Artificial intelligence, Business intelligence","Izmir, Turkey, Asia",
inVolo,https://www.involo.co,,,,,2025-01-01,,"AI insights, tracking, and benchmarks for creators",https://www.involo.co,,"Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
Salonora,https://salonora.com,,,,,2025-01-01,,Booking software and marketplace for hair and beauty salons,https://salonora.com,,"Marketplace, Artificial intelligence, SaaS","Sivas, Turkey, Asia",
abignatura,https://www.abignatura.com,,,,,2025-01-01,,Smart production model in agriculture and aquaculture,https://www.abignatura.com,,"Artificial intelligence, Agritech","Antalya, Turkey, Asia",
Ludexon,https://ludexon.com,,,,,2025-01-01,,Game marketing optimization platform,https://ludexon.com,,"Gaming, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
KAF AI,https://kaf.simur.org,,,,,2025-01-01,,AI-powered SEO assistant that scans websites and automatically fixes errors,https://kaf.simur.org,,"Advertising, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
My Genome Screen,https://www.mygenomescreen.com,,,,,2025-01-01,,"Empower genetic labs and hospitals with AI-driven technology to deliver faster, more accurate diagnoses for rare diseases",https://www.mygenomescreen.com,,"Biotech, Artificial intelligence","Delaware, USA, Asia",
Beefair,http://www.beefair.ai,,,,,2025-01-01,,AI-powered product research assistant,http://www.beefair.ai,,Artificial intelligence,"London, UK, Asia",
Collate,https://collatelabs.com,,,,,2025-01-01,,Creates and lets you design agents that automate workflows,https://collatelabs.com,,Artificial intelligence,"Dover, USA, Asia",
Emotion Machine,https://www.emotionmachine.com,SAFE,,,,2025-01-01,Pre-Seed,Infrastructure for meaningful human-AI conversations,https://www.emotionmachine.com,,"Artificial intelligence, Developer Tools","San Francisco, USA, Asia",
GeoGenie,https://geogenie.ai,,,,,2025-01-01,,Generative engine optimization tool,https://geogenie.ai,,Artificial intelligence,"Los Angeles, USA, Asia",
superdietist,https://superdietist.com,,,,,2025-01-01,,Digital platform for dietitians,https://superdietist.com,,"Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
ComplyLab,https://www.complylab.ai,,,,,2025-01-01,,AI-powered compliance automation with AI insights,https://www.complylab.ai,,Artificial intelligence,"San Francisco, USA, Asia",
AppLens,https://applens.co,,,,,2025-01-01,,AI-powered review management,https://applens.co,,Artificial intelligence,"Sheridan, USA, Asia",
Toneflow.ai,https://toneflow.ai,,,,,2025-01-01,,Artificial intelligence call center and voice technologies,https://toneflow.ai,,Artificial intelligence,"Istanbul, Turkey, Asia",
Promake.ai,https://www.promake.ai,,,,,2025-01-01,,"Builds websites and web applications from simple prompts in chat, with no code and no dashboards",https://www.promake.ai,,Artificial intelligence,"Istanbul, Turkey, Asia",
Mues AI,https://mues.ai,,,,,2025-01-01,,Agentic AI that allows your users to delegate any task to an AI agent using natural language within your product,https://mues.ai,,Artificial intelligence,"Tallinn, Estonia, Asia",
Maker's Edge,https://www.makers-edge.com,,,,,2025-01-01,,AI-powered industry solutions,https://www.makers-edge.com,,Artificial intelligence,"Wilmington, USA, Asia",
globeholder.ai,https://www.globeholder.ai,,,,,2025-01-01,,Physical reasoning layer that connects cause and consequence across the planet,https://www.globeholder.ai,,"Sustainability, Artificial intelligence","Paris, France, Asia",
Gengage,https://www.gengage.ai,,,,,2025-01-01,,Agentic AI for digital marketplace,https://www.gengage.ai,,Artificial intelligence,"Menlo Park, USA, Asia",
GENERIO,https://generio.ai,,,,,2025-01-01,,3D modeling solution,https://generio.ai,,Artificial intelligence,"Essen, Germany, Asia",
Fab Technologies,https://beta.fab.page,,,,,2025-01-01,,AI-powered tools for businesses,https://beta.fab.page,,Artificial intelligence,"Delaware, USA, Asia",
Eventiqs,https://eventiqs.com,,,,,2025-01-01,,AI-powered event intelligence platform,https://eventiqs.com,,"Event, Artificial intelligence","Newark, USA, Asia",
Connectmind AI,https://www.connectmind.ai,,,,,2025-01-01,,Synthetic research and AI-driven strategic intelligence,https://www.connectmind.ai,,Artificial intelligence,"New York, USA, Asia",
AureliaX,https://www.aureliax.co,,,,,2025-01-01,,AI-native growth intelligence platforms for companies,https://www.aureliax.co,,"Marketingtech, Artificial intelligence","Amsterdam, The Netherlands, Asia",
AEO Vision,https://aeovision.ai,,,,,2025-01-01,,"Solutions for brands to track and analyze their visibility on AI search engines such as ChatGPT, Gemini, and Perplexity",https://aeovision.ai,,Artificial intelligence,"Toronto, Canada, Asia",
AI Growth Bureau,https://aigrowthbureau.com,,,,,2025-01-01,,Technical GTM consultancy for AI start-ups & scale-ups,https://aigrowthbureau.com,,Artificial intelligence,"London, UK, Asia",
Hilbert's AI,https://hilberts.ai,,,,,2025-01-01,,"Growth Brain as a Service that transforms companies growth into one unified, AI-native engine",https://hilberts.ai,,Artificial intelligence,"California, USA, Asia",
Procurable AI,https://procurable.ai,,,,,2025-01-01,,AI platform that help manufacturing companies automate manual procurement workflows,https://procurable.ai,,Artificial intelligence,"Los Angeles, USA, Asia",
Orbion,https://www.orbion.life,,,,,2025-01-01,,"AI-driven platform that helps scientists stabilize, engineer, and purify proteins more efficiently",https://www.orbion.life,,"Biotech, Artificial intelligence","Berlin, Germany, Asia",
Quadrant,https://projectquadrant.com,,,,,2025-01-01,,"AI growth intelligence platform that maps how brands are represented across AI-driven discovery, search, and recommendation ecosystems",https://projectquadrant.com,,"Marketingtech, Artificial intelligence, SaaS","London, UK, Asia",
Heka AI,https://projectheka.com,,,,,2025-01-01,,AI-powered platform that helps hospitals reduce avoidable readmissions and improve discharge decisions through predictive machine learning,https://projectheka.com,,"Artificial intelligence, Healthtech","London, UK, Asia",
Engagemo AI,https://www.engagemo.ai,,,,,2025-01-01,,AI-powered EdTech platform transforming how writing is taught and supported in today’s classrooms,https://www.engagemo.ai,,"Edutech, Artificial intelligence","Delaware, USA, Asia",
Hub Enertech,https://hubenertech.com,,,,,2025-01-01,,AI-powered forecasting and trade optimization services for energy companies,https://hubenertech.com,,"Energy, Artificial intelligence","Istanbul, Turkey, Asia",
Quicall,https://quicall.ai,,,,,2025-01-01,,"Human-like artificial intelligence agents that speak, listen, and adapt in real time",https://quicall.ai,,"Startup Ecosystem, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
AIAnabasis,https://aianabasis.com,,,,,2025-01-01,,AI-powered recruitment platform,https://aianabasis.com,,"Hrtech, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
E-Menu,https://www.e-menu.com.tr,,,,,2025-01-01,,"SaaS platform for restaurants providing digital QR menus, point-of-sale systems, orders, payments, and staff management in one smart, scalable, and AI-powered system",https://www.e-menu.com.tr,,"Restaurant, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
Text To Next PRO,https://texttonext.com,,,,,2025-01-01,,AI-powered event technology platform that manages event processes from start to finish,https://texttonext.com,,"Event, Artificial intelligence","Istanbul, Turkey, Asia",
RZ Drones,https://rzdronesolutions.com,,,,,2025-01-01,,"AI-powered drones designed for industrial, agricultural, and logistics applications",https://rzdronesolutions.com,,"Artificial intelligence, Unmanned vehicle","Giresun, Turkey, Asia",
Neoviz,https://www.neoviz.ai,,,,,2025-01-01,,"Artificial intelligence-focused solutions, bespoke software development services",https://www.neoviz.ai,,"Agency, Artificial intelligence","Giresun, Turkey, Asia",
VOTLOG,https://www.votlog.io,,,,,2025-01-01,,AI-powered consumer research and engagement platform designed to help businesses capture real-time insights and make data-driven decisions,https://www.votlog.io,,"Customer experience, Artificial intelligence","Istanbul, Turkey, Asia",
Ignium,https://ignium.ventures,,,,,2025-01-01,,AI-native venture studio where agents build & launch startups end-to-end,https://ignium.ventures,,"Startup Ecosystem, Artificial intelligence","Toronto, Canada, Asia",
SeriAI,https://seriai.co,,,,,2025-01-01,,Enterprise-grade artificial intelligence platform,https://seriai.co,,Artificial intelligence,"Istanbul, Turkey, Asia",
Lunaar Vision,https://lunaarvision.com,,,,,2025-01-01,,"AI-powered 3D modelling, AR/VR solutions for the e-commerce and retail sector",https://lunaarvision.com,,"AR / VR, Artificial intelligence","Istanbul, Turkey, Asia",
Marin,https://marinapp.co,,,,,2025-01-01,,Personalised supplement routines based on user health data using an artificial intelligence-based algorithm,https://marinapp.co,,"Artificial intelligence, Healthtech","Hatay, Turkey, Asia",
Ukko,https://www.ukko.bot,,,,,2025-01-01,,Artificial intelligence-supported electricity market analysis,https://www.ukko.bot,,Artificial intelligence,"Istanbul, Turkey, Asia",
MachMi,https://machmi.com,,,,,2025-01-01,,"Social platform that identifies your current interests and connects you with people who share the same passions, helping you discover meaningful conversations and communities with the help of AI",https://machmi.com,,"Social network, Social media, Artificial intelligence","Istanbul, Turkey, Asia",
STOPPER AI,https://www.stopperai.com,,,,,2025-01-01,,Simulates human visual behavior to predict what people will notice  and what they'll ignore,https://www.stopperai.com,,"Advertising, Artificial intelligence","Istanbul, Turkey, Asia",
Reperi AI,https://reperi.ai,,,,,2025-01-01,,"AI-agent platform that maintains organizational and sector memory to discover internal talent & external candidates from public data, all evaluated & interviewed by AI agents",https://reperi.ai,,"Hrtech, Artificial intelligence","San Francisco, USA, Asia",
Avicenna,https://avicennasoft.com,,,,,2025-01-01,,Artificial intelligence-powered automation solutions,https://avicennasoft.com,,Artificial intelligence,"Malatya, Turkey, Asia",
AIHEXA,https://aihexa.com.tr,,,,,2025-01-01,,Blockchain-based security and artificial intelligence-focused software solutions,https://aihexa.com.tr,,"Blockchain, Artificial intelligence","Malatya, Turkey, Asia",
Mindra,https://mindra.co,Pre-Seed,1200000,USD,1200000,2025-01-01,Pre-Seed,Infrastructure for AI agent ecosystems,https://mindra.co,1,"Artificial intelligence, Developer Tools","Istanbul, Turkey, Asia",
Topological,https://www.topological.com,,,,,2025-01-01,,Physics-based foundation models for CAD optimization,https://www.topological.com,,Artificial intelligence,"San Francisco, USA, Asia",
Fulcrum,https://fulcrumresearch.ai,,,,,2025-01-01,,Agentic debugger for AI systems,https://fulcrumresearch.ai,,"Artificial intelligence, Developer Tools","San Francisco, USA, Asia",
Paloma,https://www.getpaloma.ai,,,,,2025-01-01,,"AI-native CRM for billing, renewals, and expansions",https://www.getpaloma.ai,,"Artificial intelligence, Business intelligence","San Francisco, USA, Asia",
Airweave,https://airweave.ai,,,,,2025-01-01,,Open-source tool that helps agent developers turn app data into accessible knowledge for AI agents,https://airweave.ai,,"Artificial intelligence, Developer Tools","San Francisco, USA, Asia",
Altira Health,https://www.altirahealth.com,,,,,2025-01-01,,Clinical-grade Voice & SMS AI for post-discharge and care-gap follow-up,https://www.altirahealth.com,,"Artificial intelligence, Healthtech","San Francisco, USA, Asia",
