Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors
DIATTACK,https://diattack.com,,,,,2019-01-01,,Predictive cyber security solution,https://diattack.com,,"Cybersecurity, Artificial intelligence","Istanbul, Turkey, Asia",
Plugger.ai,https://www.plugger.ai,Seed,100000,USD,100000,2019-01-01,Seed,Retail solutions with artificial intelligence and machine learning,https://www.plugger.ai,1,"Image process, Retailtech, Deeptech, Artificial intelligence","Istanbul, Turkey, Asia",
Cezeri,https://cezerirobot.com,,,,,2019-01-01,,Artificial intelligence robotics technologies,https://cezerirobot.com,,"Robotics, Artificial intelligence","Istanbul, Turkey, Asia",
Largo,https://home.largo.ai,,,,,2018-01-01,,Storytelling tools for the audiovisual industry using artificial intelligence,https://home.largo.ai,,"Artificial intelligence, SaaS","Lausanne, Switzerland, Asia",
Vera Teknoloji,https://vera-teknoloji.com,,,,,2018-01-01,,"Business Intelligence, data warehousing, AI and RPA solutions",https://vera-teknoloji.com,,"Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
Deeptech Universe,https://www.aideep.tech,,,,,2018-01-01,,Artificial intelligence and technology solutions for organisations in different sectors,https://www.aideep.tech,,"Deeptech, Artificial intelligence","Ankara, Turkey, Asia",
Rono,https://www.ronobt.com.tr,,,,,2018-01-01,,"Solutions in data analytics, artificial intelligence applications, data collection, and mobile software",https://www.ronobt.com.tr,,"Agency, Artificial intelligence","Ankara, Turkey, Asia",
Quadra360,https://quadra360.com,,,,,2018-01-01,,Artificial intelligence software and information technology services,https://quadra360.com,,"Agency, Artificial intelligence","Elazığ, Turkey, Asia",
Noctra,https://noctraplus.com,,,,,2018-01-01,,"AI-powered business management platform designed for restaurants, bars, cafes, and the entertainment industry",https://noctraplus.com,,"Smart city, Artificial intelligence, SaaS","Ankara, Turkey, Asia",
ContentGo,https://contentgo.ai,,,,,2018-01-01,,Humanlike content creation platform,https://contentgo.ai,,"Content, Artificial intelligence","London, UK, Asia",
Connected Wise,https://connectedwise.com,,,,,2018-01-01,,"Intelligent transportation systems, connected automated vehicle technologies, and artificial intelligence research",https://connectedwise.com,,"Mobility, Artificial intelligence","Orlando, USA, Asia",
Morya,https://www.morya.com.tr,,,,,2018-01-01,,Developer of artificial intelligence and deep learning technologies,https://www.morya.com.tr,,"Deeptech, Artificial intelligence, Business intelligence","Antalya, Turkey, Asia",
Star & Apple Entreprise,https://sa-enterprise.co,,,,,2018-01-01,,"Web-based, desktop applications, artificial intelligence, electric vehicles, greenhouse automation and robotics solutions",https://sa-enterprise.co,,"Agency, Mobility, Robotics, Artificial intelligence","Balıkesir, Turkey, Asia",
Teleskop App,https://teleskop.app,,,,,2018-01-01,,"Social media monitoring, media monitoring and analysis services",https://teleskop.app,,"Media, Agency, Artificial intelligence, SaaS","Ankara, Turkey, Asia",
Harptek,https://www.harptek.com,,,,,2018-01-01,,"Develops medical devices, clinical decision support tools, and artificial intelligence applications for the treatment of critically ill",https://www.harptek.com,,"Artificial intelligence, Healthtech","Ankara, Turkey, Asia",
smartFAB,https://www.smartfab.ai,Seed,100000,USD,100000,2018-01-01,Seed,Artificial intelligence-based industrial data analytics platform,https://www.smartfab.ai,1,"Big data, Artificial intelligence","Milan, Italy, Asia",
RobotAI,https://www.robotai.info,,,,,2018-01-01,,"Develops proprietary and patented algorithms for indoor navigation, arm-vision control and object manipulation based on advance machine learning tools and hands on experience",https://www.robotai.info,,"Robotics, Artificial intelligence","Haifa, Israel, Asia",
IDENTY,https://identy.io,,,,,2018-01-01,,"On-demand, secure, and accessible identity verification services",https://identy.io,,"Cybersecurity, Artificial intelligence","Dover, USA, Asia",
EC Bilişim,http://www.ecbilisim.co,,,,,2018-01-01,,AI-powered SaaS data analytics platform,http://www.ecbilisim.co,,"Artificial intelligence, SaaS","Antalya, Turkey, Asia",
İntegra,https://www.integrasistem.com,,,,,2018-01-01,,"Software and hardware solutions in image processing, IoT, artificial intelligence, autonomous technologies, biometric systems and blockchain technologies",https://www.integrasistem.com,,"Internet of things, Image process, Artificial intelligence","Istanbul, Turkey, Asia",
Azimut IT,https://www.azimutinformatics.com,,,,,2018-01-01,,Software and architectural solutions for the management and control of artificial intelligence and IoT based hardware,https://www.azimutinformatics.com,,"Internet of things, Artificial intelligence","Istanbul, Turkey, Asia",
SoMin.ai,http://somin.ai,,,,,2018-01-01,,Artificial intelligence based SaaS solution designed to supercharge and automate digital ad performance,http://somin.ai,,"Advertising, Marketingtech, Artificial intelligence","Singapore (City), Singapore, Asia",
CGE Evaluation,http://www.cgeevaluation.com,,,,,2018-01-01,,Corporate governance assessment center,http://www.cgeevaluation.com,,Artificial intelligence,"Istanbul, Turkey, Asia",
Pepteam,https://pepteam.io,,,,,2018-01-01,,"All-in-one workforce management application with modules related to human resources, internal communication, employee experience and daily operational processes",https://pepteam.io,,"Hrtech, Artificial intelligence, SaaS","Ankara, Turkey, Asia",
Zenam,http://zenambilisim.com.tr,,,,,2018-01-01,,Information technologies solutions,http://zenambilisim.com.tr,,"Agency, Artificial intelligence","Ankara, Turkey, Asia",
PrincipAI,http://principai.com,,,,,2018-01-01,,Artificial intelligence models for solving time-dependent forecasting and sequential decision making problems,http://principai.com,,Artificial intelligence,"Istanbul, Turkey, Asia",
Radius,https://www.314radius.com,,,,,2018-01-01,,Location intelligence provider,https://www.314radius.com,,"Artificial intelligence, Location","London, UK, Asia",
Enquire,https://www.enquire.ai,Bridge,200000,USD,200000,2018-01-01,Early Stage Venture,Research tool for expert insights,https://www.enquire.ai,1,Artificial intelligence,"Washington, USA, Asia",
Metisbot,https://metisbot.net,,,,,2018-01-01,,Artificial intelligence chatbot,https://metisbot.net,,Artificial intelligence,"Istanbul, Turkey, Asia",
MONO Analytics,https://monoanalytics.com,,,,,2018-01-01,,Data science consultancy services,https://monoanalytics.com,,Artificial intelligence,"Istanbul, Turkey, Asia",
Sanai,https://www.sanai.com.tr,,,,,2018-01-01,,"Machine vision systems for image-based automatic inspection, process control, robotic guidance and analysis solutions",https://www.sanai.com.tr,,"Industry40, Image process, Artificial intelligence","Istanbul, Turkey, Asia",
Peerbie,https://tr.peerbie.com,,,,,2018-01-01,,All-in-one product for productivity and teamwork in the workplace,https://tr.peerbie.com,,"Productivity, Artificial intelligence","San Francisco, USA, Asia",
SST Technology,https://www.ssttek.com,,,,,2018-01-01,,Technology solutions,https://www.ssttek.com,,"Big data, Blockchain, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
Cerebra,http://cerebra.tech,Series A,15000000,USD,15000000,2018-01-01,Early Stage Venture,"AI-driven, predictive analytics and recommendation platform",http://cerebra.tech,1,"Retailtech, Artificial intelligence","San Francisco, USA, Asia",
Orema,https://orema.com.tr,,,,,2018-01-01,,AI and machine learning solutions,https://orema.com.tr,,"Video, Advertising, Edutech, Artificial intelligence","Antalya, Turkey, Asia",
wiCow,https://wicow.io,,,,,2018-01-01,,Early warning technology developed for health monitoring in cows,https://wicow.io,,"Internet of things, Climatetech, Artificial intelligence, Agritech","Istanbul, Turkey, Asia",
Smartmind,https://www.smartmind.com.tr,,,,,2018-01-01,,Data analytics and AI solutions,https://www.smartmind.com.tr,,"Big data, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
